id_tableau,titre_tableau,source,categorie,sous-categorie,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Mwaro,8741,9628,5640,3390,6769,10141,9274,8820,11474
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Ancien cas,Rumonge,"","","","","",10158,6602,9255,8477
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Bubanza,529505,478284,463208,609588,611776,665018,753069,767840,727116
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Cibitoke,572486,695975,766577,924066,965387,927422,1007123,1038973,1029534
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Bujumbura,606710,696658,539670,677462,671588,618833,710713,757052,746496
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Bururi,492941,517214,516582,695511,755298,384685,433825,481417,501942
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Makamba,479698,514349,558535,741756,646849,599592,634136,690309,681089
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Gitega,1259693,1231005,1372947,1737149,1712122,1705369,2375149,2300728,1962377
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Karusi,829270,686465,760793,984562,988373,937515,1349499,1135333,927859
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Muramvya,281968,300621,301063,364868,394012,416804,590382,552337,476739
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Muyinga,849327,1052936,1267155,1482879,1353447,1452169,1707371,1430023,1378053
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Kirundo,828487,931335,979742,1274182,1294119,1497691,1723115,1575640,1474944
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Ngozi,1096384,814181,881255,1323426,1395134,1547988,1793573,1335413,1372391
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Kayanza,866268,764232,756716,959704,1171773,1373875,1652189,1311221,1093958
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Cankuzo,417842,526679,619098,798221,767042,759536,846526,818720,702755
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Rutana,381118,463326,520987,692543,644973,718728,788051,721687,670715
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Ruyigi,463991,651838,9780,1077971,986443,1025673,1249364,1241574,1169734
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Bujumbura Mairie,532150,540773,520802,542314,553339,545244,624280,686462,884588
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Mwaro,277764,278716,313108,406606,455709,464738,619508,617177,472414
4.07,Activités curatives dans les centres de santé et hôpitaux par province.,MSPLS/Annuaire des statistiques sanitaires.,Total,Rumonge,"","","","","",274337,512358,562658,604726
