id_tableau,titre_tableau,source,pays,ville,adresse,email,telephone,fax
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Brésil,Nairobi,"Taner Center, UN Crescent Raod, UN 
Close, Gigiri",Brasemb.nairo@itamaraty.gov.br,254 207 125 766,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Colombie,Nairobi,"Gigiri Drive, LR/Bloc n°91/50 Gigiri","",254714829792,254 714 829 792
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Grece,Nairobi,"Grece, Nation Center,7th floor, Kimati 
street",gremb.nai@mfa.gr,25420340722,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Chypre,Nairobi,"Ministry of foreign affairs, Presidential 
Palace avenue",ckapsos@mfa.gov.cy,357 226 510 00,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Mexique,Nairobi,"Kibarage way, Loresho",mexicoembamex.co.ke,254728389813,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Philippines,Nairobi,state House Road,nairobipe@dfa.gov.ph,254518013393,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Thailand,Nairobi,"LilimaniArea,Rose Avenue, Off Dennis 
Pritt Road",thai@thanbi.or.ke,254202919100,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Serbie,Nairobi,Statehouse Road,nairobi@embassyofserbia.or.ke,254202710076,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Roumanie,Nairobi,"EliudMahuSoktreet,Runda",secretariat@tama ianembassy.co.ke,254721234073,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Pakistan,Nairobi,"StmichelRoad of church Road of Waiyaki 
Way","",25 420 443 911,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Maroc,Nairobi,"UN avenue, Ggigiri",sifmanbi@ymail.com,254207120765/95,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Malaisie,Nairobi,"Gigiri Gorve, Block 91/404",malnairobi@kln.gov.my,25402002377732,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"Ambassade 
de Koweit",Nairobi,"Muthaiga Road, Serengeti avenue",kuwaitembassy@ymail.com,254 202394439, 00 254 202394439
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"Ambassade 
d'Indonésie",Dar Es salam,"","","",00 255 222118133
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Irlande,Dar Es salam,"Plot n°353 Toure,Dar Drive Masaki",Dar Es sallaamembassy@dfa.ir,255222602355,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Finlande,Dar Es salam,"70, Kenyatta, Drive, Oysterbay",pekka.hukka@formin.fi,255754400041,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Malawi,Dar Es salam,"Rose Garden, Road, Michochen .B",mmhcrdar@yahoo.c.uk,255 686270041,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Angola,Dar Es salam,"Msanani Peninsula Buzwagi street, 
Chole, Road,n°",Communic@hotmail.com,255222602683,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Zambie,Dar Es salam,"Plot n°5/6,Ohio/Sokoine Drive",info@whcdar.or.tz,255222125529,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Namibia,Dar Es salam,"3Rufiji Street,Masaki",namhcdar@gmail.com,255222601903,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Oman,Dar Es salam,"Plot n°810,Mwayi kibaki Road, Mikocheni 
A",daressalam@mofa.gov.com,255 222 277 310,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Mozambique,Dar Es salam,"Garden avenue, Plot n°25",Mozambiquecindar@gmail.com,255222124673,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Etat de Qatar,Dar Es salam,"Plot n°345, Tumbawe Street, Toure Drive, 
Oystrebay",daressalaam@mofa.qa.gov,255222664713,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Espagne,Dar Es salam,"99B, Kinondoni Road",Emb.daressalaam@maec.es,255222666018,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Indonesie,Dar Es salam,"Ali Hassani Mwinyi Road, Plot n°299",kbridsm@raha.com,255 222 118 133,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Zimbabwe,Dar Es salam," Plot n°298, Shake Street, Masaki",info@zimembassytanzania.com,255222602930,""
