id_tableau,titre_tableau,source,categorie,Libellés,2010,2011,2012,2013,2014,2015,2016,2017
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix courants,PIB au prix du marché,2501.1,2819.5,3357.3,3812.5,4185.1,4417.9,4848.2,5562.4
"","","","","","","","","","","","",""
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Service des ventes,130.6,148.8,159.9,161.5,200.4,179.2,192.9,195.3
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Service de réparation,0.8,1,4.8,6.3,6.2,5.1,9.1,11.6
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Service des transports,30.8,22.5,26.2,21.3,29.6,35.3,48.8,51.8
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Service de communication,56.1,67.2,76.5,82.1,134.2,142.6,141,156.5
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Service des Banques et assurances,69.6,106.8,117.1,120,144.8,147.4,169.6,209
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Service des hôtels et restaurants,284.4,319.3,361.4,425.7,395.1,444.9,554,568.1
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Service de l'Administration publique,143.2,162.6,179,234.5,286.7,350.3,323.6,349.9
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Service de l'éducation,146,174.5,214.6,220.8,241.8,271,278.9,301.9
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Service de la santé,34.1,57.4,75.9,103.1,111.4,145.5,87.3,106.5
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Autres services,54,50.4,34.4,62.5,98.7,114.7,114.3,132.9
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,SIFIM,-79.3,-106,-99.3,-105.3,-133.7,-132.6,116.7,-153
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Total VA,870.1,1004.5,1150.6,1332.4,1515.1,1703.3,1802.7,1930.5
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,PIB aux coûts des facteurs,2066.8,2333.4,2649.1,3168.2,3565.9,3769,4096.2,4572
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,Impôts et taxes,228.6,268.6,295.2,353.6,408.1,399,463.1,480.5
17.05,Evolution de la Valeur Ajoutée du secteur tertiaire (en milliards de Fbu),ISTEEBU,A prix constant,PIB au prix du marché,2295.4,2602,2944.3,3521.8,3974,4168,4559.2,5052.5
