id_tableau,titre_tableau,source,categorie,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,IST (autres que VIH/SIDA,"","","","","","",3429,538,442
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,IST : conjonctivite du nouveau né,"","","","","","","",5421,6357
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,IST : écoulement urétrale,"","","","","","","",67,89
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,IST : écoulement vaginale,"","","","","","","",221,236
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,IST : ulcération génitale,"","","","","","","",484,664
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Lèpre (confirmée par laboratoire),0,272,236,670,509,455,325,33,""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Maladie diarrhéique,416298,122630,"",145855,12343,123801,110764,90509,""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Malnutrition,16388,19937,70124,86408,72197,80376,131687,141141,137977
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Méningite à méningocoque,51,422,736,734,300,192,981,46,11
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Onchocercose,"","","","","","","",26,25
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Paludisme,699990,713992,1359835,2264452,2497800,2757405,4272547,4028294,2648215
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Paralysie Flasque Aigüe,"","","","","","",413,102,""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Pneumonie,"","","","","","",197715,178475,205667
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Plaie-Traumatisme - Brûlure,2918,3243,"","","",14044,13441,6756,""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Rougeole,3684,3169,1275,36,370,129,104,75,""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,TBC toute forme (TTF),"","","","","","","",21,76
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,TEP,"","","","","","","",29,116
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Sida suspect,240,327,869,346,602,474,463,"",""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Tétanos néonatal (< 1 mois),6,"","",6,6,"",1,2,""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,TPB-,"","","","","","","",8,11
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,TPB+,"","","","","","",35,4,15
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Trachome actif,"","","","","","",41,8,""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,"Traumatisme : accidents de circulation sur la voie 
publique","","","","","","","",1735,2312
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Traumatisme par arme,"","","","","","",280,143,138
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Trichiasis,"","","","","","",4,3,""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Troubles psychiques suspectés,"","","","","","",11,58,36
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Tuberculose pulmonaire,321,106,48,42,82,90,45,681,""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Typhus exanthématique,21,6,"",0,0,"",0,"",""
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Violence sexuelle,"","","","","","",73,100,512
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Violence physique autre que sexuelle,"","","","","","","",71,15
4.01,Les principales causes de morbidité dans les centres de santé chez les enfants de moins de 5 ans.,MSPLS/Annuaire des statistiques sanitaires,Autre violence basée sur le genre,"","","","","","","",149,125
